Text16;Текст3;Text14;Text18;Text17;Текст5;Text23;Text24
Организация;;;Демо;;;;
Группа;;;Грузовые;;;;
Наименование;;;Камаз трололо );;;Минимальная продолжительность стоянки;0:01:00
Регистрационный №;;;д 555 дд;;;;
Позывной;;;Мусоровоз;;;;
№;Период стоянки с;;Период стоянки по;;Продолжи- тельность;Место стоянки;
;Дата;Время;Дата;Время;;;
135;16.08.2013;23:31:56;17.08.2013;00:17:31;0:45:35;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";
136;17.08.2013;00:21:23;17.08.2013;00:32:57;0:11:34;Хоз двор. Место где находится гараж.;
137;17.08.2013;00:40:41;17.08.2013;00:46:03;0:05:22;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";
138;17.08.2013;00:46:15;17.08.2013;00:48:41;0:02:26;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";
139;17.08.2013;00:49:00;17.08.2013;00:50:09;0:01:09;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";
140;17.08.2013;00:50:12;17.08.2013;00:53:51;0:03:39;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";
141;17.08.2013;00:54:03;17.08.2013;00:56:11;0:02:08;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";
142;17.08.2013;00:57:10;17.08.2013;01:01:28;0:04:18;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";
143;17.08.2013;01:01:34;17.08.2013;01:02:50;0:01:16;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";
144;17.08.2013;01:04:47;17.08.2013;01:06:22;0:01:35;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";
145;17.08.2013;01:07:16;17.08.2013;01:22:29;0:15:13;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";
146;17.08.2013;01:22:59;17.08.2013;01:31:37;0:08:38;Точка №1 ул. Набережная.;
147;17.08.2013;01:35:54;17.08.2013;01:43:26;0:07:32;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";
148;17.08.2013;01:46:03;17.08.2013;01:48:57;0:02:54;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";
149;17.08.2013;01:49:34;17.08.2013;02:01:32;0:11:58;Точка №2 ул.Привокзальная.;
150;17.08.2013;02:02:26;17.08.2013;02:08:16;0:05:50;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";
151;17.08.2013;02:08:32;17.08.2013;02:12:10;0:03:38;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";
152;17.08.2013;02:21:14;17.08.2013;02:29:27;0:08:13;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";
153;17.08.2013;02:34:21;17.08.2013;02:35:39;0:01:18;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";
154;17.08.2013;02:36:57;17.08.2013;02:40:08;0:03:11;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";
155;17.08.2013;02:40:28;17.08.2013;02:43:27;0:02:59;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";
156;17.08.2013;02:45:27;17.08.2013;02:47:01;0:01:34;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";
157;17.08.2013;02:47:05;17.08.2013;02:49:53;0:02:48;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";
158;17.08.2013;02:51:59;17.08.2013;02:55:36;0:03:37;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";
159;17.08.2013;03:37:26;17.08.2013;03:39:49;0:02:23;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";
160;17.08.2013;03:41:47;17.08.2013;03:44:04;0:02:17;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";
161;17.08.2013;03:44:48;17.08.2013;03:50:24;0:05:36;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";
162;17.08.2013;03:51:24;17.08.2013;03:55:24;0:04:00;Точка №3 тупичёк за озером.;
163;17.08.2013;04:01:24;17.08.2013;04:10:28;0:09:04;Точка №3 тупичёк за озером.;
164;17.08.2013;04:37:50;17.08.2013;05:07:34;0:29:44;Хоз двор. Место где находится гараж.;
165;17.08.2013;05:12:00;17.08.2013;05:18:52;0:06:52;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";
166;17.08.2013;05:19:38;17.08.2013;05:31:22;0:11:44;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";
167;17.08.2013;05:32:43;17.08.2013;05:37:17;0:04:34;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";
168;17.08.2013;05:37:43;17.08.2013;06:07:33;0:29:50;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";
169;17.08.2013;06:08:28;17.08.2013;06:11:50;0:03:22;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";
170;17.08.2013;06:11:54;17.08.2013;06:13:17;0:01:23;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";
171;17.08.2013;06:13:20;17.08.2013;06:18:24;0:05:04;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";
172;17.08.2013;06:18:38;17.08.2013;06:23:43;0:05:05;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";
173;17.08.2013;06:24:30;17.08.2013;06:26:34;0:02:04;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";
174;17.08.2013;06:26:41;17.08.2013;06:29:22;0:02:41;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";
175;17.08.2013;06:32:54;17.08.2013;06:34:20;0:01:26;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";
176;17.08.2013;06:34:33;17.08.2013;06:36:28;0:01:55;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";
177;17.08.2013;06:37:20;17.08.2013;06:39:04;0:01:44;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";
178;17.08.2013;06:40:22;17.08.2013;06:42:15;0:01:53;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";
179;17.08.2013;06:43:41;17.08.2013;06:46:43;0:03:02;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";
180;17.08.2013;06:48:45;17.08.2013;06:49:46;0:01:01;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";
181;17.08.2013;06:49:58;17.08.2013;06:51:46;0:01:48;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";
182;17.08.2013;06:59:18;17.08.2013;07:04:22;0:05:04;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";
183;17.08.2013;07:06:22;17.08.2013;07:13:11;0:06:49;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";
