Text11;Text20;Text21;Текст10;Text15;TextLocus
55;08:51:00;09:08:29;0:17:29;2,72;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46"""
56;09:09:53;09:14:13;0:04:20;0,26;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95"""
57;09:28:46;10:14:21;0:45:35;6,26;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51"""
58;10:18:13;10:29:47;0:11:34;1,52;Хоз двор. Место где находится гараж.
59;10:37:31;10:42:53;0:05:22;2,82;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51"""
60;10:43:05;10:45:31;0:02:26;0,13;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29"""
61;10:45:50;10:46:59;0:01:09;0,15;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61"""
62;10:47:02;10:50:41;0:03:39;0,07;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50"""
63;10:50:53;10:53:01;0:02:08;0,10;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14"""
64;10:54:00;10:58:18;0:04:18;0,22;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11"""
65;10:58:24;10:59:40;0:01:16;0,07;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87"""
66;11:01:37;11:03:12;0:01:35;0,26;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20"""
67;11:04:06;11:19:19;0:15:13;0,20;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66"""
68;11:19:49;11:28:27;0:08:38;0,08;Точка №1 ул. Набережная.
69;11:32:44;11:40:16;0:07:32;1,24;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00"""
70;11:42:53;11:45:47;0:02:54;0,37;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53"""
71;11:46:24;11:58:22;0:11:58;0,12;Точка №2 ул.Привокзальная.
72;11:59:16;12:05:06;0:05:50;0,24;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07"""
73;12:05:22;12:09:00;0:03:38;0,09;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94"""
74;12:18:04;12:26:17;0:08:13;3,81;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21"""
75;12:31:11;12:32:29;0:01:18;1,51;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07"""
76;12:33:47;12:36:58;0:03:11;0,17;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97"""
77;12:37:18;12:40:17;0:02:59;0,11;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51"""
78;12:42:17;12:43:51;0:01:34;0,12;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33"""
79;12:43:55;12:46:43;0:02:48;0,06;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85"""
80;12:48:49;12:52:26;0:03:37;0,23;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23"""
81;13:34:16;13:36:39;0:02:23;34,37;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18"""
82;13:38:37;13:40:54;0:02:17;0,60;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78"""
83;13:41:38;13:47:14;0:05:36;0,21;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03"""
84;13:48:14;14:07:18;0:19:04;0,18;Точка №3 тупичёк за озером.
85;14:34:40;15:04:24;0:29:44;21,33;Хоз двор. Место где находится гараж.
86;15:08:50;15:15:42;0:06:52;0,90;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08"""
87;15:16:28;15:28:12;0:11:44;0,18;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68"""
88;15:29:33;15:34:07;0:04:34;0,26;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70"""
89;15:34:33;16:04:23;0:29:50;0,13;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66"""
90;16:05:18;16:08:40;0:03:22;0,14;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06"""
91;16:08:44;16:10:07;0:01:23;0,07;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26"""
92;16:10:10;16:15:14;0:05:04;0,02;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02"""
93;16:15:28;16:20:33;0:05:05;0,10;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20"""
94;16:21:20;16:23:24;0:02:04;0,16;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24"""
95;16:23:31;16:26:12;0:02:41;0,06;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14"""
96;16:29:44;16:31:10;0:01:26;1,81;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51"""
97;16:31:23;16:33:18;0:01:55;0,09;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66"""
98;16:34:10;16:35:54;0:01:44;0,11;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21"""
